0	0.6	0.75	0.7	0.7	0	0	
0.9	0.725	0.75	0.7	0.7	0.125	0	
1	0.25	0.65	0.7	0.6	0.7	0	
1.9	0.25	0.65	0.7	0.6	0.7	0	
2	0.25	0.65	0.5	0.75	0.7	0	
2.9	0.25	0.65	0.5	0.75	0.7	0	
3	0.7	0.65	0.5	0.3	0.7	0	
3.9	0.7	0.65	0.5	0.3	0.7	0	
4	0.7	0.65	0.7	0.6	0.6	0	
4.9	0.7	0.65	0.7	0.6	0.6	0	
5	0.7	0.65	0.75	0.7	0.7	0	
5.9	0.7	0.65	0.75	0.7	0.7	0	
6	0.7	0.65	0.7	0.6	0.6	0	
6.9	0.7	0.65	0.7	0.6	0.6	0	
7	0.2	0.3	0.3	0.3	0.3	0	
7.9	0.3	0.4	0.3	0.3	0.3	0	
